year,month,hour,latitude,longitude,focal_depth_(km),magnitude,country,magnitude_scale
1954,2,18,-34.9,138.7,4.0,5.4,AUSTRALIA,minor damage
1954,3,23,24.5,95.3,180.0,7.4,MYANMAR; INDIA,serious damage
1954,3,6,37.0,-3.5,640.0,7.0,SPAIN,serious damage
1954,4,0,39.8,22.1,0.0,7.0,GREECE,serious damage
1954,4,11,29.5,-29.5,0.0,7.5,ATLANTIC OCEAN,serious damage
1954,4,13,39.3,22.2,0.0,7.0,GREECE,serious damage
1954,6,0,36.0,66.0,0.0,0.0,AFGHANISTAN,limited damage
1954,6,2,31.6,116.6,0.0,5.3,CHINA,minor damage
1954,7,2,13.0,123.9,0.0,6.8,PHILIPPINES,severe damage
1954,7,11,39.4,-118.5,0.0,6.8,NEVADA,severe damage
1954,7,1,38.8,104.2,0.0,7.0,CHINA,serious damage
1954,8,15,27.5,52.0,0.0,5.0,IRAN,minor damage
1954,8,0,39.6,-118.5,0.0,6.8,NEVADA,severe damage
1954,9,1,36.274,1.594,15.0,6.7,ALGERIA,severe damage
1954,9,2,36.0,1.5,0.0,6.7,ALGERIA,severe damage
1954,9,2,36.0,1.5,0.0,0.0,ALGERIA,limited damage
1954,9,9,36.0,1.5,0.0,6.0,ALGERIA,slight_damage
1954,10,11,29.4,104.8,0.0,5.0,CHINA,minor damage
1954,11,8,-8.0,119.0,0.0,6.8,INDONESIA,severe damage
1954,11,20,38.9,142.2,30.0,6.5,JAPAN,severe damage
1954,12,11,39.3,-118.2,0.0,7.0,NEVADA,serious damage
1955,1,0,11.46,-69.57,0.0,0.0,VENEZUELA,limited damage
1955,1,12,33.8,-118.2,0.0,0.0,CALIFORNIA,limited damage
1955,2,22,30.5,67.0,0.0,0.0,PAKISTAN,limited damage
1955,2,20,-28.0,-175.5,60.0,7.8,KERMADEC ISLANDS,serious damage
1955,3,18,8.1,123.2,96.0,7.6,PHILIPPINES,serious damage
1955,4,19,13.0,-87.0,0.0,6.2,NICARAGUA,severe damage
1955,4,20,37.5,22.0,0.0,0.0,GREECE,limited damage
1955,4,1,30.0,101.8,0.0,7.5,CHINA,serious damage
1955,4,3,39.9,74.6,0.0,7.0,CHINA,serious damage
1955,4,16,39.4,23.1,33.0,6.2,GREECE,severe damage
1955,4,20,-30.0,-72.0,30.0,7.1,CHILE,serious damage
1955,4,7,39.5,23.0,0.0,6.0,GREECE,slight_damage
1955,4,12,44.2,83.6,0.0,6.5,CHINA,severe damage
1955,5,14,6.5,94.0,0.0,7.3,INDIA,serious damage
1955,6,0,26.5,101.1,0.0,6.0,CHINA,slight_damage
1955,7,7,37.5,27.0,0.0,6.8,TURKEY,severe damage
1955,7,21,0.2,-78.4,0.0,6.0,COLOMBIA-ECUADOR,slight_damage
1955,9,17,10.0,-84.5,0.0,5.8,COSTA RICA,slight_damage
1955,9,3,-6.9,155.7,33.0,6.5,SOLOMON ISLANDS,severe damage
1955,9,6,32.2,29.6,0.0,6.3,EGYPT,severe damage
1955,9,15,26.6,101.8,10.0,6.8,CHINA,severe damage
1955,10,6,29.9,101.4,0.0,5.8,CHINA,slight_damage
1955,10,21,-16.2,-71.3,0.0,0.0,PERU,limited damage
1955,10,8,-5.1,152.924,35.0,7.3,PAPUA NEW GUINEA,serious damage
1956,1,7,17.0,-99.5,0.0,6.5,MEXICO,severe damage
1956,1,20,-19.0,-70.0,0.0,7.1,CHILE,serious damage
1956,1,8,-26.0,-175.241,35.0,7.0,TONGA ISLANDS,serious damage
1956,1,5,47.5,19.3,0.0,5.8,HUNGARY,slight_damage
1956,1,23,-0.5,-80.5,0.0,7.3,ECUADOR,serious damage
1956,1,0,12.2,-86.7,0.0,7.3,NICARAGUA,serious damage
1956,1,2,45.5,14.3,7.0,4.5,BALKANS NW,minor damage
1956,2,20,40.0,30.5,0.0,5.8,TURKEY,slight_damage
1956,3,22,-38.9,175.7,0.0,5.3,NEW ZEALAND,minor damage
1956,3,23,44.3,144.1,20.0,0.0,"NE. HOKKAIDO ISLAND, JAPAN",limited damage
1956,3,19,35.5,35.5,0.0,5.8,LEBANON,slight_damage
1956,4,18,37.0,-4.0,0.0,0.0,SPAIN,limited damage
1956,5,20,-15.0,-179.0,430.0,7.5,FIJI ISLANDS,serious damage
1956,6,0,35.1,67.5,60.0,7.6,AFGHANISTAN,serious damage
1956,7,3,36.664,25.957,20.0,7.7,GREECE,serious damage
1956,7,3,36.8,25.2,0.0,6.8,GREECE,severe damage
1956,7,15,22.2,95.7,39.0,7.0,MYANMAR (BURMA),serious damage
1956,7,6,-5.5,130.0,190.0,7.5,INDONESIA,serious damage
1956,7,15,23.278,70.107,15.0,6.0,INDIA,slight_damage
1956,8,16,33.8,138.8,50.0,6.5,JAPAN,severe damage
1956,8,0,37.8,114.0,0.0,5.0,CHINA,minor damage
1956,10,2,46.0,150.5,110.0,7.6,RUSSIA,serious damage
1956,10,14,27.407,54.462,15.0,6.4,IRAN,severe damage
1956,11,16,39.5,23.0,0.0,5.7,GREECE,slight_damage
1956,12,2,-25.5,-71.0,33.0,0.0,CHILE,limited damage
1956,12,21,40.5,115.5,0.0,5.0,CHINA,minor damage
1957,2,4,36.2,8.9,0.0,5.6,TUNISIA,slight_damage
1957,2,20,23.9,121.6,69.0,7.2,TAIWAN,serious damage
1957,3,12,39.4,22.8,0.0,7.0,GREECE,serious damage
1957,3,14,51.292,-175.629,33.0,8.6,ALASKA,great damage
1957,3,14,55.0,-165.2,0.0,7.5,ALASKA,serious damage
1957,4,19,-15.5,-173.0,60.0,7.5,SAMOA ISLANDS,serious damage
1957,4,4,-4.6,107.1,600.0,7.5,INDONESIA,serious damage
1957,4,0,33.4,52.5,0.0,0.0,IRAN,limited damage
1957,4,19,36.31,28.62,40.0,6.9,TURKEY,severe damage
1957,4,2,36.4,28.55,41.0,7.1,TURKEY,serious damage
1957,5,6,40.7,30.9,0.0,7.1,TURKEY,serious damage
1957,6,20,38.0,112.5,0.0,5.0,CHINA,minor damage
1957,6,23,-1.5,137.0,33.0,7.3,INDONESIA,serious damage
1957,6,0,56.2,116.4,15.0,7.6,RUSSIA,serious damage
1957,7,0,36.277,52.778,15.0,6.6,IRAN,severe damage
1957,7,8,16.5,-99.1,25.0,7.9,MEXICO,serious damage
1957,7,17,-23.5,-71.5,33.0,7.0,CHILE,serious damage
1957,9,0,28.3,53.3,0.0,0.0,IRAN,limited damage
1957,9,8,5.5,127.5,60.0,7.6,PHILIPPINES,serious damage
1957,9,0,-8.2,107.3,0.0,0.0,S. JAVA SEA,limited damage
1957,9,14,-20.4,-178.5,549.0,7.5,FIJI ISLANDS,serious damage
1957,10,14,-2.0,116.0,0.0,6.0,INDONESIA,slight_damage
1957,11,22,-21.0,-66.0,170.0,7.8,BOLIVIA,serious damage
1957,11,0,0.0,0.0,0.0,0.0,SOLOMON ISLANDS,limited damage
1957,12,3,45.5,99.5,33.0,8.1,MONGOLIA,great damage
1957,12,1,34.388,47.748,15.0,6.5,IRAN,severe damage
1957,12,13,-12.3,166.7,120.0,7.8,SOLOMON ISLANDS,serious damage
1958,1,19,-16.5,-72.0,60.0,7.3,PERU,serious damage
1958,1,2,36.5,53.0,0.0,0.0,IRAN,limited damage
1958,1,14,1.5,-79.5,60.0,7.6,COLOMBIA-ECUADOR,serious damage
1958,2,16,2.0,-79.0,0.0,6.9,COLOMBIA-ECUADOR,severe damage
1958,2,23,31.5,104.0,0.0,6.2,CHINA,severe damage
1958,3,0,25.0,125.0,70.0,7.5,JAPAN,serious damage
1958,4,22,-4.5,104.0,200.0,6.7,INDONESIA,severe damage
1958,5,2,38.5,-28.8,0.0,0.0,AZORES,limited damage
1958,7,6,58.37,-136.665,35.0,7.8,ALASKA,serious damage
1958,7,17,-13.5,-69.0,620.0,7.5,PERU,serious damage
1958,8,19,34.29,47.867,15.0,6.7,IRAN,severe damage
1958,9,14,-18.0,-65.0,0.0,0.0,PERU,limited damage
1958,9,21,-33.785,-70.112,0.0,6.8,CHILE-ARGENTINA,severe damage
1958,9,12,49.3,156.4,0.0,0.0,RUSSIA,limited damage
1958,9,16,36.0,49.0,0.0,5.2,IRAN,minor damage
1958,9,1,22.5,109.5,0.0,5.8,CHINA,slight_damage
1958,10,1,-9.5,112.5,100.0,6.7,INDONESIA,severe damage
1958,11,22,-50.0,-115.0,0.0,6.1,EAST PACIFIC RIDGE,severe damage
1958,11,22,44.53,148.54,40.0,8.3,RUSSIA,great damage
1958,11,20,44.2,148.8,29.0,0.0,RUSSIA,limited damage
1958,11,10,44.3,9.9,0.0,0.0,ITALY,limited damage
1958,11,9,44.4,8.8,0.0,0.0,ITALY,limited damage
1959,1,5,37.5,142.2,40.0,0.0,"SANRIKU, JAPAN",limited damage
1959,1,6,44.5,9.6,0.0,0.0,ITALY,limited damage
1959,2,9,-4.0,-81.5,19.0,7.4,PERU-ECUADOR,serious damage
1959,4,0,44.0,6.8,0.0,5.5,FRANCE,slight_damage
1959,4,12,44.3,149.0,40.0,5.0,RUSSIA,minor damage
1959,4,22,42.9,12.6,0.0,0.0,ITALY,limited damage
1959,4,0,44.5,10.8,0.0,0.0,ITALY,limited damage
1959,4,0,37.0,28.7,0.0,6.3,TURKEY,severe damage
1959,4,20,24.78,122.7,150.0,7.5,TAIWAN,serious damage
1959,5,7,52.5,159.5,60.0,8.2,RUSSIA,great damage
1959,5,19,17.0,-96.3,100.0,6.8,MEXICO,severe damage
1959,6,0,-20.369,-68.0,112.0,7.5,BOLIVIA-NORTHERN CHILE,serious damage
1959,6,15,53.9,160.5,15.0,7.0,RUSSIA,serious damage
1959,7,18,31.8,115.3,0.0,5.0,CHINA,minor damage
1959,8,23,35.6,110.9,0.0,5.4,CHINA,minor damage
1959,8,8,22.18,121.13,60.0,7.0,TAIWAN,serious damage
1959,8,21,-7.5,156.0,0.0,7.3,SOLOMON ISLANDS,serious damage
1959,8,6,44.712,-111.215,5.0,7.7,MONTANA,serious damage
1959,8,8,18.3,-94.4,0.0,6.9,MEXICO,severe damage
1959,8,17,52.0,106.5,0.0,6.5,RUSSIA,severe damage
1959,9,11,40.9,19.8,11.0,6.1,ALBANIA,severe damage
1959,9,14,-28.5,-177.0,60.0,7.7,KERMADEC ISLANDS,serious damage
1959,10,15,39.1,41.6,0.0,6.2,TURKEY,severe damage
1959,10,7,37.5,143.2,10.0,0.0,"SANRIKU, JAPAN",limited damage
1959,10,6,45.89,151.11,70.0,7.2,RUSSIA,serious damage
1959,11,0,36.4,2.6,0.0,5.5,ALGERIA,slight_damage
1959,11,10,38.75,75.317,0.0,6.4,CHINA,severe damage
1959,12,12,-13.5,-74.0,0.0,0.0,PERU,limited damage
1960,1,15,-15.75,-72.75,160.0,7.8,PERU,serious damage
1960,1,9,-15.0,-75.0,150.0,7.0,PERU,serious damage
1960,2,23,33.8,104.5,0.0,5.3,CHINA,minor damage
1960,2,8,36.0,4.1,33.0,5.6,ALGERIA,slight_damage
1960,2,23,30.45,-9.62,33.0,5.9,MOROCCO,slight_damage
1960,3,17,39.8,143.4,20.0,7.5,JAPAN,serious damage
1960,3,0,39.4,143.7,20.0,6.7,JAPAN,severe damage
1960,4,7,44.7,127.0,0.0,5.8,CHINA,slight_damage
1960,4,12,27.814,54.497,15.0,5.9,IRAN,slight_damage
1960,4,9,-0.5,121.5,0.0,0.0,INDONESIA,limited damage
1960,5,10,-37.872,-73.243,35.0,8.2,CHILE,great damage
1960,5,19,-38.143,-73.407,33.0,9.5,CHILE,great damage
1960,5,5,40.0,20.0,0.0,6.5,GREECE-ALBANIA,severe damage
1960,6,15,-9.4,152.3,33.0,6.6,PAPUA NEW GUINEA,severe damage
1960,7,17,40.3,142.5,50.0,6.7,JAPAN,severe damage
1960,7,2,-1.5,-79.0,21.0,0.0,ECUADOR,limited damage
1960,8,15,28.6,76.7,58.0,0.0,INDIA,limited damage
1960,9,9,-3.6,29.0,28.0,6.6,CONGO,severe damage
1960,10,0,11.1,122.3,0.0,0.0,PHILIPPINES,limited damage
1960,11,8,-38.5,-75.1,55.0,7.4,CHILE,serious damage
1960,11,10,32.7,103.7,0.0,6.8,CHINA,severe damage
1960,11,22,-6.8,-80.7,93.0,6.7,PERU,severe damage
1961,1,14,50.016,156.099,59.0,6.6,RUSSIA,severe damage
1961,1,7,36.0,142.3,40.0,0.0,JAPAN,limited damage
1961,1,11,36.0,141.9,20.0,0.0,JAPAN,limited damage
1961,1,12,36.2,141.9,20.0,0.0,JAPAN,limited damage
1961,2,8,24.9,93.34,141.0,7.6,INDIA,serious damage
1961,2,21,43.2,147.9,80.0,0.0,RUSSIA,limited damage
1961,2,18,31.6,131.8,74.0,7.3,JAPAN,serious damage
1961,3,10,-28.3,-175.7,40.0,7.5,KERMADEC ISLANDS,serious damage
1961,3,19,30.5,110.0,0.0,4.9,CHINA,minor damage
1961,3,13,-8.2,122.0,74.0,6.5,INDONESIA,severe damage
1961,3,10,38.0,15.3,0.0,0.0,ITALY,limited damage
1961,4,21,34.0,-118.0,16.0,0.0,CALIFORNIA,limited damage
1961,4,16,39.8,77.7,0.0,6.8,CHINA,severe damage
1961,5,2,36.693,28.594,35.0,6.4,TURKEY,severe damage
1961,6,23,10.466,39.717,33.0,6.2,ETHIOPIA,severe damage
1961,6,5,27.861,54.528,15.0,6.4,IRAN,severe damage
1961,6,17,24.97,98.63,33.0,5.8,CHINA,slight_damage
1961,6,10,8.9,-73.4,120.0,6.5,COLOMBIA,severe damage
1961,6,0,33.5,49.4,0.0,0.0,IRAN,limited damage
1961,6,7,27.73,99.75,25.0,6.0,CHINA,slight_damage
1961,7,14,29.6,131.8,60.0,0.0,JAPAN,limited damage
1961,7,21,-18.421,168.411,35.0,7.3,VANUATU ISLANDS,serious damage
1961,8,5,-9.849,160.614,25.0,6.4,SOLOMON ISLANDS,severe damage
1961,8,15,42.9,145.6,80.0,0.0,JAPAN,limited damage
1961,8,21,46.338,149.548,154.0,6.7,RUSSIA,severe damage
1961,8,5,36.0,136.7,0.0,7.3,JAPAN,serious damage
1961,8,1,-10.5,-70.7,629.0,7.5,PERU,serious damage
1961,9,0,-59.5,-27.3,131.0,7.5,SOUTH SANDWICH ISLANDS,serious damage
1961,9,0,-58.0,-27.0,0.0,7.7,SOUTH SANDWICH ISLANDS,serious damage
1961,9,11,-56.26,-27.283,105.0,7.7,SOUTH SANDWICH ISLANDS,serious damage
1961,10,0,34.33,104.78,0.0,5.7,CHINA,slight_damage
1961,10,7,33.6,48.1,33.0,0.0,IRAN,limited damage
1961,10,16,-36.7,-73.0,15.0,6.5,CHILE,severe damage
1961,11,7,42.7,145.7,60.0,0.0,JAPAN,limited damage
1961,12,13,4.49,-75.51,163.0,6.8,COLOMBIA,severe damage
1962,1,10,43.3,17.1,33.0,5.9,BALKANS NW,slight_damage
1962,1,5,43.3,17.1,33.0,6.1,BALKANS NW,severe damage
1962,2,6,-37.8,-72.5,45.0,7.3,CHILE,serious damage
1962,2,0,36.0,9.0,0.0,5.3,TUNISIA,minor damage
1962,3,11,8.008,-82.757,35.0,6.8,COSTA RICA-PANAMA,severe damage
1962,3,15,40.9,19.5,33.0,6.0,ALBANIA,slight_damage
1962,3,20,23.72,114.67,25.0,6.1,CHINA,severe damage
1962,4,0,33.32,58.845,15.0,5.8,IRAN,slight_damage
1962,4,0,38.073,142.741,25.0,7.2,JAPAN,serious damage
1962,4,19,-10.0,-79.0,39.0,6.3,PERU,severe damage
1962,4,4,23.6,106.1,0.0,5.5,CHINA,slight_damage
1962,4,0,42.2,143.9,60.0,0.0,"SE. HOKKAIDO ISLAND, JAPAN",limited damage
1962,4,0,45.0,5.6,0.0,5.3,FRANCE,minor damage
1962,4,2,38.8,140.9,104.0,6.8,JAPAN,severe damage
1962,5,14,17.2,-99.6,40.0,7.0,MEXICO,serious damage
1962,5,14,17.2,-99.5,33.0,7.2,MEXICO,serious damage
1962,5,12,37.1,96.0,0.0,6.8,CHINA,severe damage
1962,5,12,41.8,142.4,60.0,5.7,JAPAN,slight_damage
1962,5,22,39.8,25.0,0.0,4.5,GREECE,minor damage
1962,6,7,43.6,18.3,0.0,6.3,BALKANS NW,severe damage
1962,6,1,25.2,101.2,18.0,6.2,CHINA,severe damage
1962,7,8,7.5,-82.0,21.0,7.4,PANAMA,serious damage
1962,7,20,5.2,-76.4,69.0,6.8,COLOMBIA,severe damage
1962,8,18,44.68,81.58,0.0,6.4,CHINA,severe damage
1962,8,18,41.4,15.5,34.0,6.1,ITALY,severe damage
1962,8,10,37.8,22.9,100.0,6.8,GREECE,severe damage
1962,8,13,41.8,-111.8,37.0,5.8,UTAH,slight_damage
1962,9,19,35.63,49.87,27.0,7.2,IRAN,serious damage
1962,9,22,39.9,43.9,0.0,5.5,TURKEY,slight_damage
1962,9,0,39.6,23.3,0.0,5.5,GREECE,slight_damage
1962,10,20,35.1,58.7,8.0,5.0,IRAN,minor damage
1962,11,0,28.1,55.6,40.0,5.5,IRAN,slight_damage
1962,12,9,38.12,106.27,0.0,5.5,CHINA,slight_damage
1962,12,8,52.47,-168.54,33.0,6.5,ALASKA,severe damage
1963,2,8,24.5,122.1,47.0,7.3,TAIWAN,serious damage
1963,2,17,32.6,21.0,5.0,5.4,LIBYA,minor damage
1963,3,12,34.438,47.882,20.0,6.0,IRAN,slight_damage
1963,3,12,40.8,15.6,0.0,0.0,ITALY,limited damage
1963,3,2,37.0,57.9,33.0,5.0,IRAN,minor damage
1963,4,7,35.7,97.0,0.0,7.0,CHINA,serious damage
1963,4,9,25.8,99.5,0.0,6.0,CHINA,slight_damage
1963,5,15,12.2,-86.9,50.0,5.5,NICARAGUA,slight_damage
1963,5,12,-8.2,115.6,65.0,6.0,INDONESIA,slight_damage
1963,5,10,46.1,14.8,13.0,4.9,BALKANS NW,minor damage
1963,6,13,47.9,130.6,0.0,5.8,CHINA,slight_damage
1963,6,7,33.2,49.2,38.0,0.0,IRAN,limited damage
1963,7,4,42.1,21.3,5.0,6.0,BALKANS NW,slight_damage
1963,7,6,27.8,55.6,37.0,5.2,IRAN,minor damage
1963,8,17,-13.8,-69.3,543.0,7.7,PERU,serious damage
1963,8,8,39.8,74.2,0.0,6.5,CHINA,severe damage
1963,9,1,33.9,74.8,25.0,5.3,INDIA,minor damage
1963,9,0,-10.472,165.77,35.0,7.5,SOLOMON ISLANDS,serious damage
1963,9,19,-10.286,165.413,28.0,7.5,SOLOMON ISLANDS,serious damage
1963,9,16,40.698,29.159,30.0,6.2,TURKEY,severe damage
1963,9,16,-10.385,-78.022,75.0,7.0,PERU,serious damage
1963,10,11,44.426,149.272,48.0,7.1,RUSSIA,serious damage
1963,10,5,44.77,149.798,13.0,8.5,RUSSIA,great damage
1963,10,0,44.772,150.563,28.0,7.9,RUSSIA,serious damage
1963,11,1,-6.86,129.58,100.0,8.3,INDONESIA,great damage
1963,11,21,-9.127,-71.483,590.0,7.6,BRAZIL,serious damage
1963,12,1,-6.4,105.4,64.0,6.6,INDONESIA,severe damage
1963,12,0,-24.8,-176.6,45.0,7.5,TONGA TRENCH,serious damage
1964,1,22,-3.7,119.4,90.0,5.2,INDONESIA,minor damage
1964,1,12,23.2,120.6,33.0,7.0,TAIWAN,serious damage
1964,2,10,26.1,101.0,15.0,5.4,CHINA,minor damage
1964,2,12,38.8,-28.4,33.0,4.6,AZORES,minor damage
1964,3,3,61.017,-147.648,33.0,9.2,ALASKA,great damage
1964,4,1,5.9,95.7,130.0,7.0,INDONESIA,serious damage
